################### 16
4	6,5e-05
64	0,000416
400	0,002857
1000	0,005323
1400	0,054997
2000	0,296118

################### 32
4	4,8e-05
64	0,000323
400	0,002832
1000	0,004194
1400	0,061603
2000  0,285521
